id,date,vaccines,confirmed,tests,recovered,deaths,population,confirmed_per,deaths_per,ratio,tests_per,vaccines_per,new_cases,new_cases_per
France,2020-01-22,,,,,,66977107.0,,,,,,0.0,0.0
France,2020-01-23,,1.0,,,,66977107.0,0.0014930474676966862,,,,,0.0,0.0
France,2020-01-24,,3.0,,,,66977107.0,0.004479142403090059,,,,,2.0,0.002986094935393373
France,2020-01-25,,3.0,,,,66977107.0,0.004479142403090059,,,,,0.0,0.0
France,2020-01-26,,3.0,,,,66977107.0,0.004479142403090059,,,,,0.0,0.0
France,2020-01-27,,0.0,,,,66977107.0,0.0,,,,,-3.0,-0.004479142403090059
France,2020-01-28,,4.0,,,,66977107.0,0.005972189870786745,,,,,4.0,0.005972189870786745
France,2020-01-29,,5.0,,,,66977107.0,0.007465237338483431,,,,,1.0,0.001493047467696686
France,2020-01-30,,6.0,,,,66977107.0,0.008958284806180118,,,,,1.0,0.0014930474676966869
France,2020-01-31,,6.0,,,,66977107.0,0.008958284806180118,,,,,0.0,0.0
France,2020-02-01,,6.0,,,,66977107.0,0.008958284806180118,,,,,0.0,0.0
France,2020-02-02,,6.0,,,,66977107.0,0.008958284806180118,,,,,0.0,0.0
France,2020-02-03,,6.0,,,,66977107.0,0.008958284806180118,,,,,0.0,0.0
France,2020-02-04,,6.0,,,,66977107.0,0.008958284806180118,,,,,0.0,0.0
France,2020-02-05,,6.0,,,,66977107.0,0.008958284806180118,,,,,0.0,0.0
France,2020-02-06,,6.0,,,,66977107.0,0.008958284806180118,,,,,0.0,0.0
France,2020-02-07,,6.0,,,,66977107.0,0.008958284806180118,,,,,0.0,0.0
France,2020-02-08,,11.0,,,,66977107.0,0.016423522144663548,,,,,5.0,0.00746523733848343
France,2020-02-09,,11.0,,,,66977107.0,0.016423522144663548,,,,,0.0,0.0
France,2020-02-10,,11.0,,,,66977107.0,0.016423522144663548,,,,,0.0,0.0
France,2020-02-11,,11.0,,,,66977107.0,0.016423522144663548,,,,,0.0,0.0
France,2020-02-12,,11.0,,2.0,,66977107.0,0.016423522144663548,,,,,0.0,0.0
France,2020-02-13,,11.0,,,,66977107.0,0.016423522144663548,,,,,0.0,0.0
France,2020-02-14,,11.0,,,,66977107.0,0.016423522144663548,,,,,0.0,0.0
France,2020-02-15,,12.0,,4.0,,66977107.0,0.017916569612360236,,,,,1.0,0.0014930474676966878
France,2020-02-16,,12.0,,,,66977107.0,0.017916569612360236,,,,,0.0,0.0
France,2020-02-17,,12.0,,,,66977107.0,0.017916569612360236,,,,,0.0,0.0
France,2020-02-18,,12.0,,,,66977107.0,0.017916569612360236,,,,,0.0,0.0
France,2020-02-19,,12.0,,,,66977107.0,0.017916569612360236,,,,,0.0,0.0
France,2020-02-20,,12.0,,,,66977107.0,0.017916569612360236,,,,,0.0,0.0
France,2020-02-21,,12.0,,,,66977107.0,0.017916569612360236,,,,,0.0,0.0
France,2020-02-22,,12.0,,,,66977107.0,0.017916569612360236,,,,,0.0,0.0
France,2020-02-23,,12.0,,,,66977107.0,0.017916569612360236,,,,,0.0,0.0
France,2020-02-24,,12.0,,,,66977107.0,0.017916569612360236,,,,,0.0,0.0
France,2020-02-25,,14.0,,11.0,,66977107.0,0.020902664547753608,,,,,2.0,0.002986094935393372
France,2020-02-26,,17.0,,,,66977107.0,0.025381806950843668,,,,,3.0,0.00447914240309006
France,2020-02-27,,35.0,,,,66977107.0,0.05225666136938402,,,,,18.0,0.026874854418540352
